district,location,0-11,12-19,20-59,60+,other,total_borrowers,number_of_borrowed_items,computer_hours,number_of_visits,items_in_stock,staffing_costs,premises_costs,other_costs,total_costs,number_of_birth_and_death_registrations
Sevenoaks,Swanley ,175,20,135,247,44,621,6686,428,30896,24532,24716,23642,24533,72891,0
Tonbridge & Malling,Larkfield ,192,22,176,295,59,744,9645,345,3052,26946,27183,27873,26947,82003,0
Tunbridge Wells,Southborough ,206,57,277,284,86,910,11028,1079,2416,17597,17919,17239,17598,52756,0
Maidstone,Allington ,319,44,172,394,77,1006,13363,244,6228,24486,24736,26304,24487,75527,0
Shepway,Lydd ,0,0,0,0,0,0,0,0,35,5977,5977,14192,5977,26146,0
Dartford,Temple Hill ,0,0,0,0,0,0,0,1,0,8836,8836,11941,8836,29613,0
Dartford,Longfield ,0,0,0,0,0,0,0,0,0,5967,5967,10811,5967,22745,0
Dartford,SuttonatHone ,0,0,0,0,0,0,0,0,0,6178,6178,14748,6178,27104,0
Dover,St Margarets ,0,0,0,0,0,0,0,0,0,5348,5348,11697,5348,22393,0
Gravesham,Dashwood ,0,0,0,0,0,0,0,0,0,3657,3657,3279,3657,10593,0
Gravesham,Marling Cross ,0,0,0,0,0,0,0,0,0,5573,5573,14873,5573,26019,0
Gravesham,Vigo ,0,0,0,0,0,0,0,0,0,3829,3829,6110,3829,13768,0
Sevenoaks,Hartley ,0,0,0,0,0,0,0,0,0,7025,7025,11684,7025,25734,0
Sevenoaks,Riverhead ,0,0,0,0,0,0,0,0,0,5409,5409,35411,5409,46229,0
Sevenoaks,Seal,0,0,0,0,0,0,0,0,0,4030,4030,8895,4030,16955,0
Sevenoaks,West Kingsdown,0,0,0,0,0,0,0,0,0,6298,6298,15641,6298,28237,0
Shepway,Lyminge ,0,0,0,0,0,0,0,0,0,8057,8057,13035,8057,29149,0
Swale,Boughton,0,0,0,0,0,0,0,0,0,2792,2792,4865,2792,10449,0
Thanet,Newington,0,0,0,0,0,0,0,0,0,10377,10377,43745,10377,64499,0
Thanet,Westgate ,0,0,0,0,0,0,0,0,0,9977,9977,24390,9977,44344,0
Tunbridge Wells,Hawkhurst ,0,0,0,0,0,0,0,0,0,4081,4081,3234,4081,11396,0
Tunbridge Wells,Paddock Wood ,0,0,0,0,0,0,0,0,0,11598,11598,43254,11598,66450,0
Tunbridge Wells,Rusthall ,0,0,0,0,0,0,0,0,0,9121,9121,13913,9121,32155,0
Tunbridge Wells,Sherwood ,0,0,0,0,0,0,0,0,0,5112,5112,79062,5112,89286,0
